id,answer,visibility,unit_id
0021dd37ed4e,20,public,0021dd37ed4e
0022a32a03ec,31,private,0022a32a03ec
004f69ee332e,1200,public,004f69ee332e
006ba2f12268,260,public,006ba2f12268
0121d5fcd693,539,private,0121d5fcd693
015d6d3dfdb8,10,private,015d6d3dfdb8
020cc9fde44f,70,private,020cc9fde44f
0275626313c6,78,private,0275626313c6
02861dd1727e,49,private,02861dd1727e
02ce63398fc0,310,private,02ce63398fc0
02f88d9dc72b,4,public,02f88d9dc72b
0332cf7335e2,14,private,0332cf7335e2
0364bf5a26ba,10,public,0364bf5a26ba
037b96d1d1ce,210,public,037b96d1d1ce
039ab5ba5785,8,private,039ab5ba5785
039b80f727f8,1,private,039b80f727f8
03fe65cf75a0,36,private,03fe65cf75a0
04035200f8d4,15,private,04035200f8d4
0411677942a4,16,private,0411677942a4
043611204f62,83,public,043611204f62
04880848c9c7,21,private,04880848c9c7
04cf99a2b4f0,12,private,04cf99a2b4f0
04d0723b403d,142,private,04d0723b403d
04df6bad8852,118000,private,04df6bad8852
04ee06b5b674,70,public,04ee06b5b674
04f3d918dbac,38,private,04f3d918dbac
052d09443246,1,public,052d09443246
053af2a2515c,1198,private,053af2a2515c
05b75ae3b577,16,private,05b75ae3b577
05bc25dbed7b,110,private,05bc25dbed7b
05c361337741,155,public,05c361337741
05e6a3f2d91c,280,private,05e6a3f2d91c
061271cb0fca,23,public,061271cb0fca
0641ac902a72,20,public,0641ac902a72
065e98aa7b6b,40,public,065e98aa7b6b
0661b7d4c391,3200,private,0661b7d4c391
06983a72c991,114200,private,06983a72c991
0744d3ae777c,12,private,0744d3ae777c
075eb9f33ee4,390,private,075eb9f33ee4
076400b95c48,8,private,076400b95c48
0783bf04d401,32,private,0783bf04d401
07f685a82ebb,3,private,07f685a82ebb
08107e554377,5,private,08107e554377
082a5d11fa26,90,private,082a5d11fa26
085d29973a16,45,private,085d29973a16
099147477f21,2,public,099147477f21
0993d299d92f,50,public,0993d299d92f
0a3febe4a9ad,38,private,0a3febe4a9ad
0a96b0e9b9a4,4,private,0a96b0e9b9a4
0a97f5703f70,9,private,0a97f5703f70
0b1fb499f783,500,public,0b1fb499f783
0b8fbfd5e547,23,public,0b8fbfd5e547
0cae8735790e,25,private,0cae8735790e
0ce132c3067c,120,private,0ce132c3067c
0d51e4285d0e,250,private,0d51e4285d0e
